role_name,permission_name
Bendahara Umum,input.availability
Bendahara Umum,view.swap.own
Bendahara Umum,create.swap.request
Bendahara Umum,approve.swap.target
Bendahara Umum,view.leave.own
Bendahara Umum,create.leave.request
Bendahara Umum,view.penalty.own
Bendahara Umum,appeal.penalty
Bendahara Umum,view.sales.all
Bendahara Umum,view.sales.own
Bendahara Umum,edit.sales
Bendahara Umum,view.products
Bendahara Umum,view.purchases
Bendahara Umum,create.purchases
Bendahara Umum,edit.purchases
Bendahara Umum,view.reports
Bendahara Umum,view.reports.finance
Bendahara Umum,view.reports.sales
Bendahara Umum,export.reports
Bendahara Umum,view.finance
Bendahara Umum,manage.finance
Bendahara Umum,approve.finance
Bendahara Umum,view.toko.reports

Bendahara Kegiatan,view.users
Bendahara Kegiatan,view.attendance.all
Bendahara Kegiatan,view.attendance.own
Bendahara Kegiatan,checkin.attendance
Bendahara Kegiatan,view.schedule.all
Bendahara Kegiatan,view.schedule.own
Bendahara Kegiatan,input.availability
Bendahara Kegiatan,view.swap.own
Bendahara Kegiatan,create.swap.request
Bendahara Kegiatan,approve.swap.target
Bendahara Kegiatan,view.leave.own
Bendahara Kegiatan,create.leave.request
Bendahara Kegiatan,view.penalty.own
Bendahara Kegiatan,appeal.penalty
Bendahara Kegiatan,view.sales.all
Bendahara Kegiatan,view.sales.own
Bendahara Kegiatan,view.products
Bendahara Kegiatan,view.purchases
Bendahara Kegiatan,create.purchases
Bendahara Kegiatan,view.reports
Bendahara Kegiatan,view.reports.finance
Bendahara Kegiatan,export.reports
Bendahara Kegiatan,view.finance
Bendahara Kegiatan,manage.finance
Bendahara Toko,view.users
Bendahara Toko,view.attendance.own
Bendahara Toko,checkin.attendance
Bendahara Toko,view.schedule.all
Bendahara Toko,view.schedule.own
Bendahara Toko,input.availability
Bendahara Toko,view.swap.own
Bendahara Toko,create.swap.request
Bendahara Toko,approve.swap.target
Bendahara Toko,view.leave.own
Bendahara Toko,create.leave.request
Bendahara Toko,view.penalty.own
Bendahara Toko,appeal.penalty
Bendahara Toko,view.sales.all
Bendahara Toko,view.sales.own
Bendahara Toko,create.sales
Bendahara Toko,edit.sales
Bendahara Toko,view.products
Bendahara Toko,edit.products
Bendahara Toko,view.purchases
Bendahara Toko,create.purchases
Bendahara Toko,view.reports
Bendahara Toko,view.reports.sales
Bendahara Toko,export.reports
Bendahara Toko,view.finance
Bendahara Toko,view.toko.reports

Koordinator Toko,view.users
Koordinator Toko,view.attendance.all
Koordinator Toko,view.attendance.own
Koordinator Toko,checkin.attendance
Koordinator Toko,manage.attendance
Koordinator Toko,view.schedule.all
Koordinator Toko,view.schedule.own
Koordinator Toko,create.schedule
Koordinator Toko,edit.schedule
Koordinator Toko,generate.schedule
Koordinator Toko,publish.schedule
Koordinator Toko,input.availability
Koordinator Toko,view.swap.all
Koordinator Toko,view.swap.own
Koordinator Toko,create.swap.request
Koordinator Toko,approve.swap.target
Koordinator Toko,approve.swap.admin
Koordinator Toko,view.leave.all
Koordinator Toko,view.leave.own
Koordinator Toko,create.leave.request
Koordinator Toko,approve.leave.request
Koordinator Toko,view.penalty.all
Koordinator Toko,view.penalty.own
Koordinator Toko,create.penalty
Koordinator Toko,appeal.penalty
Koordinator Toko,view.sales.all
Koordinator Toko,view.sales.own
Koordinator Toko,create.sales
Koordinator Toko,edit.sales
Koordinator Toko,delete.sales
Koordinator Toko,view.products
Koordinator Toko,create.products
Koordinator Toko,edit.products
Koordinator Toko,delete.products
Koordinator Toko,view.purchases
Koordinator Toko,create.purchases
Koordinator Toko,edit.purchases
Koordinator Toko,manage.stock
Koordinator Toko,view.reports
Koordinator Toko,view.reports.sales
Koordinator Toko,export.reports
Koordinator Toko,manage.toko
Koordinator Toko,view.toko.reports

Koordinator PSDA,view.users
Koordinator PSDA,edit.users
Koordinator PSDA,view.attendance.all
Koordinator PSDA,view.attendance.own
Koordinator PSDA,checkin.attendance
Koordinator PSDA,view.schedule.all
Koordinator PSDA,view.schedule.own
Koordinator PSDA,input.availability
Koordinator PSDA,view.swap.all
Koordinator PSDA,view.swap.own
Koordinator PSDA,create.swap.request
Koordinator PSDA,approve.swap.target
Koordinator PSDA,view.leave.all
Koordinator PSDA,view.leave.own
Koordinator PSDA,create.leave.request
Koordinator PSDA,view.penalty.all
Koordinator PSDA,view.penalty.own
Koordinator PSDA,create.penalty
Koordinator PSDA,edit.penalty
Koordinator PSDA,appeal.penalty
Koordinator PSDA,view.sales.own
Koordinator PSDA,view.products
